entry	model(BERT)	T5(BERT)	model(MINILM)	T5(MINILM)	model(BioSentVec)	T5(BioSentVec)
P17243	0.9999998807907104	0.41077089309692383	1.0000001192092896	0.35700851678848267	1.0	0.3070278465747833
Q57D38	0.8257749676704407	0.6544812917709351	0.6282591819763184	0.38815516233444214	0.5177560448646545	0.42454323172569275
Q92LF7	1.0	0.3543010652065277	1.0	0.06133298575878143	1.0	0.17541980743408203
Q6FR44	0.641822099685669	0.5463460683822632	0.3102082908153534	0.3954996168613434	0.5125977396965027	0.4153446853160858
Q6Y8A2	0.9999999403953552	0.4401680529117584	1.0000001192092896	0.3307303488254547	1.0	0.4774094223976135
O78455	1.0	0.7309767603874207	1.0000001192092896	0.3978781998157501	1.0	0.3361549377441406
Q0W2D6	1.0	0.6501805782318115	1.0	0.2668410837650299	1.0	0.21770797669887543
Q5AK66	0.9807735085487366	0.6023246645927429	0.9240272641181946	0.3540382385253906	0.9737541079521179	0.3368034064769745
A2C6G3	0.6144407987594604	0.7603452205657959	0.4779508411884308	0.4648644030094147	0.5262205600738525	0.4295201897621155
Q7SEF9	1.0	0.27706944942474365	1.0000001192092896	0.07502744346857071	1.0	0.24015212059020996
Q7UI03	0.8399828672409058	0.5071645975112915	0.6219708919525146	0.4222058951854706	0.6257805824279785	0.5238984823226929
A9AJN2	0.7668501734733582	0.4704814553260803	0.7165788412094116	0.15901032090187073	0.6450642943382263	0.23950377106666565
Q54JC8	0.9941810369491577	0.6244825124740601	0.9728435277938843	0.26948443055152893	0.9738826155662537	0.25876277685165405
Q6ENF3	0.5994620323181152	0.30110985040664673	0.19851163029670715	0.2060920000076294	0.39271125197410583	0.22866976261138916
Q4PSD1	0.9957395792007446	0.3381858468055725	0.9898275136947632	0.16601969301700592	0.9862383008003235	0.23212102055549622
P0A7D7	0.6069234609603882	0.5593979954719543	0.5035380721092224	0.20931759476661682	0.4774685204029083	0.14152437448501587
B1GYY3	0.7288442850112915	0.3393723964691162	0.5120143294334412	0.05316426604986191	0.6440191864967346	0.11828756332397461
Q5RAP5	0.6990983486175537	0.5994084477424622	0.7115300893783569	0.4911607801914215	0.614169716835022	0.27375340461730957
O52336	0.8511537313461304	0.65548175573349	0.6325075626373291	0.5241997838020325	0.687825620174408	0.30233797430992126
P53873	0.8423324823379517	0.7410933971405029	0.7364605069160461	0.4232029616832733	0.6623780727386475	0.42706748843193054
O74377	0.8208100199699402	0.38776683807373047	0.6545168161392212	0.13031244277954102	0.47855812311172485	0.11969872564077377
P38359	0.6214320659637451	0.5269114375114441	0.6035277247428894	0.3682626485824585	0.3878818452358246	0.22757293283939362
P0CO14	0.9478039741516113	0.49185124039649963	0.8347448706626892	0.5909811854362488	0.7432007789611816	0.4823800325393677
Q8KFJ7	1.0000001192092896	0.5440979599952698	1.0000003576278687	0.29826804995536804	1.0	0.17749910056591034
Q923Y8	0.68970787525177	0.442933052778244	0.3377714455127716	0.5604066848754883	0.49317434430122375	0.5662389993667603
Q80T11	0.8791675567626953	0.4508233368396759	0.75462806224823	0.22365322709083557	0.8636944890022278	0.2813372015953064
P15019	1.0	0.25324922800064087	0.9999999403953552	0.057552315294742584	1.0	0.09103281050920486
Q8MHY7	0.7379674911499023	0.3853759765625	0.6422317624092102	0.2931923270225525	0.6438810229301453	0.21758292615413666
Q81MY9	1.0	0.6502785682678223	0.9999999403953552	0.3571895956993103	1.0	0.30519822239875793
B4L629	1.0000001192092896	0.6914341449737549	1.0	0.3556078374385834	1.0	0.3241981267929077
Q8TBG9	0.6463215947151184	0.6184146404266357	0.6076803803443909	0.6876440644264221	0.5078799724578857	0.5472807288169861
P97931	1.0	0.3537968397140503	1.0	0.2108965963125229	1.0	0.23080842196941376
P21796	0.9232122898101807	0.5037330985069275	0.8149043917655945	0.4325016140937805	0.8847930431365967	0.474300354719162
Q9JZA1	1.0	0.3536495566368103	1.0	0.19357171654701233	1.0	0.3492469787597656
Q9U5W9	0.8102017641067505	0.41407179832458496	0.7326310873031616	0.1338992863893509	0.7387909293174744	0.19041377305984497
P93394	1.0	0.5453160405158997	0.9999998807907104	0.08158212900161743	1.0	0.09873882681131363
Q26998	1.0	0.7191699147224426	0.9999998807907104	0.3623715341091156	1.0	0.3810032308101654
Q8RWN0	0.967664897441864	0.18087881803512573	0.8883267641067505	0.2620569169521332	0.9392096996307373	0.2364768087863922
P25051	0.8538433313369751	0.29718154668807983	0.5513654947280884	-0.004226510412991047	0.5677291750907898	0.277584969997406
Q09275	0.8343459367752075	0.629649817943573	0.4673699736595154	0.24370238184928894	0.6197154521942139	0.38574057817459106
A0A1X9QDU4	0.6910910606384277	0.4626851975917816	0.5075728893280029	0.28872010111808777	0.6288760900497437	0.33149921894073486
P74945	0.8644245862960815	0.32412388920783997	0.5326616168022156	-0.040972813963890076	0.6565948128700256	0.1331769973039627
P74946	0.8024027347564697	0.45246613025665283	0.6804276704788208	0.3642261326313019	0.45989638566970825	0.3357023000717163
Q8VIC7	1.0	0.42514216899871826	1.0	0.0964895710349083	1.0	0.17947474122047424
Q06155	0.917037844657898	0.3824958801269531	0.628609836101532	0.3702322244644165	0.6206397414207458	0.2332945168018341
Q28037	0.970703125	0.5964719653129578	0.9242096543312073	0.30262017250061035	0.9609760046005249	0.3284660279750824
