model	T5
0.151327	0.000459
0.595794	0.00339
0.005255	0.002813
1.0	0.015125
0.200358	0.004091
1.0	0.005383
0.12257	0.003679
0.999739	0.001117
0.999024	0.00058
0.012857	0.000498
0.999383	0.001827
0.006959	0.00112
0.020673	0.011512
0.127561	0.001639
0.096167	0.002008
0.022699	0.001694
0.012771	0.001247
0.031721	0.001941
0.292638	0.003259
0.005825	0.012528
0.030632	0.009234
0.08544	0.001112
0.033876	0.00247
0.03346	0.00501
0.99931	0.002132
0.171948	0.000334
0.068583	0.000576
0.103429	0.006222
0.034404	0.000958
0.23814	0.006808
0.017438	0.001472
0.015752	0.000808
0.016035	0.001686
0.083478	0.002506
0.590587	0.003893
0.007556	0.003503
0.037906	0.004573
0.133294	0.001303
0.999573	0.001243
0.013097	0.000597
0.025849	0.000373
0.01334	0.011918
0.048998	0.00212
0.061615	0.001645
0.03762	0.005644
0.054733	0.002039
0.097551	0.002851
0.066552	0.000363
0.137923	0.00182
0.037744	0.002601
0.016219	0.000228
0.021633	0.004143
0.030757	0.000945
0.998435	0.003119
0.998859	0.002225
0.013944	0.002158
0.008166	0.007935
0.046394	0.000847
0.035655	0.001749
0.258933	0.005236
1.0	0.006927
0.769187	0.012417
0.029604	0.001786
0.067086	0.00053
0.026868	0.014531
0.011768	0.002821
0.044604	0.000951
1.0	0.001784
0.026492	0.000841
0.013407	0.000606
0.831892	0.008798
0.185821	0.006808
1.0	0.015539
0.043574	0.000591
0.020804	0.001528
0.324048	0.006537
0.235708	0.005775
0.230847	0.00385
0.050607	0.002968
0.036131	0.004929
0.99862	0.003205
0.008697	0.001159
0.017399	0.015578
0.098415	0.000912
0.036882	0.025206
0.015381	0.015254
0.049707	0.004341
0.031193	0.000918
0.403544	0.01089
0.024281	0.029797
0.99862	0.006896
0.611485	0.001063
0.026416	0.002155
0.134102	0.011087
0.217126	0.000796
0.026247	0.009209
0.112618	0.003181
0.136159	0.001448
0.616146	0.007256
0.999434	0.002707
0.128048	0.005894
0.040056	0.007215
0.999332	0.00086
0.008593	0.004118
0.008759	0.001729
1.0	0.00061
0.029203	0.019753
0.019915	0.000956
0.053019	0.002217
1.0	0.001856
0.100109	0.000941
0.146333	0.000701
0.998627	0.003686
0.108361	0.018855
0.02299	0.002835
0.070389	0.035696
0.48065	0.00542
0.013818	0.000312
0.017043	0.003304
0.03356	0.006817
0.998986	0.000423
0.005772	0.006272
0.027518	0.002932
0.010734	0.000443
0.046784	0.00777
0.027773	0.001157
0.098739	0.007229
0.065607	0.005105
0.01258	0.00274
0.104962	0.010767
0.023517	0.003192
0.020189	0.005178
0.007548	0.001827
1.0	0.001035
0.039222	0.004386
0.080005	0.000364
0.02608	0.003759
0.684612	0.003006
0.046308	0.001233
0.013189	0.001654
0.020625	0.004808
0.178774	0.00084
0.013211	0.000826
0.029654	0.00511
0.029085	0.002864
0.022105	0.005628
1.0	0.00099
0.019862	0.002992
0.006219	0.000741
0.194172	0.00094
1.0	0.004212
0.030825	0.001405
0.020987	0.000955
0.258933	0.004605
0.034261	0.005728
0.025583	0.001108
0.021368	0.004763
0.063543	0.001373
0.035324	0.000375
0.009302	0.012697
0.014199	0.000572
0.999408	0.005022
0.254304	0.002901
1.0	0.00626
0.036281	0.005629
0.017341	0.002951
0.027306	0.001248
0.046945	0.006943
0.456485	0.004131
0.01404	0.008072
0.1287	0.005242
0.035675	0.006868
1.0	0.002108
0.155291	0.001028
0.012136	0.003444
0.032696	0.006621
0.00741	0.005223
0.027526	0.0019
0.087854	0.001182
0.027957	0.005292
0.015123	0.00737
0.99742	0.005725
0.055741	0.004236
0.013563	0.007394
0.521337	0.000688
0.026155	0.001959
0.026257	0.011477
0.092276	0.003806
0.128077	0.001638
0.03977	0.005408
0.03015	0.003969
0.009704	0.004367
0.047287	0.001639
0.999666	0.003235
0.025194	0.001536
0.38909	0.003503
0.029069	0.006768
0.0101	0.004853
0.033455	0.001154
0.062566	0.009415
0.064681	0.002518
0.040536	0.006939
0.034094	0.004703
0.025365	0.006448
0.022461	0.013616
0.011373	0.001445
0.050895	0.001873
0.032655	0.001328
0.045935	0.002555
0.027416	0.002787
0.17817	0.002784
0.026441	0.001944
0.08196	0.003352
0.99862	0.002928
0.14804	0.001737
0.333558	0.000333
0.033476	0.010838
0.007338	0.008798
0.016918	0.003761
0.007746	0.001009
0.02228	0.005393
0.104169	0.003703
0.020137	0.007108
0.062788	0.002038
0.063996	0.002529
0.041102	0.024145
0.025915	0.000746
0.18328	0.003858
0.005546	0.002956
0.007396	0.003196
0.09967	0.000991
0.03684	0.00441
0.0453	0.004607
0.034006	0.005136
0.412603	0.004885
0.010225	0.004497
0.091374	0.000919
0.006739	0.002204
0.02679	0.00244
0.844309	0.010184
0.028299	0.001037
0.003227	0.000547
0.018276	0.000694
0.14139	0.00366
1.0	0.002129
0.017091	0.005455
0.0516	0.002554
0.009763	0.002679
0.059514	0.000444
0.99862	0.00216
0.048971	0.004155
0.008741	0.003485
1.0	0.000789
0.81407	0.008638
0.096079	0.000338
0.02006	0.002661
0.009092	0.003246
0.240348	0.000662
0.019832	0.003148
0.033736	0.022929
0.050973	0.000701
0.187556	0.003677
0.246241	0.001185
0.217388	0.002115
0.015507	0.000722
0.998293	0.998293
0.015162	0.008968
0.028927	0.001225
0.86165	0.001018
0.153612	0.002864
0.119836	0.007556
0.040726	0.005312
0.004042	0.004975
0.066832	0.042641
0.093828	0.00642
0.998049	0.013621
0.037126	0.000423
0.027776	0.000622
0.32126	0.005817
0.009461	0.004736
0.014085	0.005357
0.99862	0.004251
0.112092	0.003184
0.082514	0.00102
0.03562	0.001921
0.032623	0.001977
0.021164	0.006643
0.021164	0.005307
0.011962	0.000637
0.087122	0.001113
0.014637	0.010141
0.148541	0.016732
0.017386	0.001226
0.756454	0.002952
0.112383	0.001342
0.111141	0.008558
0.016678	0.001173
0.010724	0.007138
0.016591	0.002966
0.011676	0.002879
0.675725	0.004277
0.014651	0.003438
0.253844	0.000493
0.044454	0.001584
0.191341	0.004651
0.010702	0.002599
0.016246	0.000706
0.223485	0.004462
0.929749	0.000671
0.032542	0.008958
0.031464	0.00632
0.01741	0.000617
0.017122	0.000299
0.31418	0.000576
1.0	0.000313
0.014231	0.010422
0.158181	0.00171
0.218841	0.003969
0.052483	0.01763
0.036515	0.003747
0.018385	0.006264
0.096992	0.00663
0.051328	0.00266
0.138734	0.00053
0.016616	0.000936
0.034801	0.001683
0.833335	0.006524
0.034773	0.001076
0.041111	0.000513
0.012375	0.00029
1.0	0.020549
1.0	0.000132
0.079052	0.00595
0.496539	0.007918
0.023171	0.003493
0.077838	0.005566
0.016702	0.000592
0.354515	0.002808
0.116307	0.000334
0.249421	0.000543
0.030011	0.001455
0.553922	0.004816
0.124634	0.009115
0.104142	0.000932
0.01772	0.009098
0.059059	0.003368
0.01834	0.006263
0.019909	0.00099
