model	T5
0.310191	0.000696
0.698712	0.004621
0.032385	0.008522
1.0	0.10839
0.247148	0.022593
1.0	0.024094
0.361276	0.027934
0.999478	0.002127
0.998049	0.000958
0.08106	0.001265
0.998767	0.009746
0.07326	0.004577
0.139923	0.046436
0.168716	0.006573
0.1759	0.008804
0.076957	0.009214
0.032124	0.004552
0.089734	0.004237
0.405109	0.019674
0.033259	0.061011
0.090486	0.053221
0.199759	0.002848
0.103972	0.006694
0.114257	0.025015
0.99862	0.005093
0.293562	0.000493
0.136559	0.001155
0.244322	0.041382
0.081427	0.004721
0.345281	0.038394
0.057666	0.00621
0.091975	0.001803
0.058034	0.007079
0.215738	0.005205
0.447716	0.015269
0.037519	0.017212
0.117007	0.016951
0.272781	0.005756
0.999146	0.004266
0.071589	0.00131
0.078492	0.00091
0.052805	0.041864
0.155409	0.008809
0.168255	0.00578
0.096109	0.006588
0.274366	0.005145
0.33892	0.014248
0.111804	0.000952
0.363389	0.008169
0.090722	0.006405
0.064508	0.00047
0.085501	0.009495
0.079618	0.002135
0.996872	0.013005
0.99772	0.003874
0.044387	0.009393
0.035739	0.019347
0.114843	0.001737
0.121914	0.004257
0.1914	0.007087
1.0	0.029812
0.769186	0.042258
0.112711	0.007485
0.143794	0.001922
0.118353	0.080981
0.047897	0.009741
0.235731	0.004434
1.0	0.004366
0.132986	0.004225
0.075415	0.001734
0.841187	0.02314
0.312818	0.038394
1.0	0.02989
0.149419	0.001033
0.04337	0.002355
0.470716	0.058839
0.350727	0.024951
0.416559	0.03743
0.116963	0.008247
0.128877	0.037726
0.997242	0.005937
0.05118	0.005904
0.042968	0.02817
0.261534	0.004136
0.071623	0.055601
0.091867	0.083834
0.193292	0.022049
0.128415	0.001899
0.510965	0.071314
0.104948	0.074003
0.997242	0.046372
0.373914	0.002353
0.089327	0.007555
0.468149	0.066295
0.327573	0.003119
0.087793	0.057184
0.239631	0.021474
0.275095	0.004592
0.716562	0.066739
0.998868	0.005105
0.396103	0.055361
0.067358	0.016225
0.998665	0.001862
0.058201	0.03757
0.042516	0.005142
1.0	0.001274
0.04822	0.060492
0.111863	0.001627
0.104071	0.00686
1.0	0.009261
0.182359	0.002392
0.31277	0.002224
0.997255	0.0316
0.164428	0.031644
0.097249	0.015271
0.128585	0.045191
0.231024	0.036848
0.071756	0.000676
0.073906	0.015554
0.111516	0.041987
0.997972	0.000742
0.028326	0.018819
0.101138	0.014002
0.043379	0.000865
0.092667	0.015771
0.146799	0.003992
0.180045	0.056142
0.193657	0.025885
0.047115	0.012364
0.278882	0.036104
0.113045	0.018212
0.099903	0.040221
0.039236	0.007096
1.0	0.002141
0.142914	0.022875
0.13977	0.000627
0.120101	0.006556
0.758922	0.014876
0.128575	0.004809
0.051437	0.008481
0.077403	0.018347
0.209419	0.001678
0.050485	0.001823
0.106126	0.017566
0.082382	0.008788
0.129606	0.042096
1.0	0.002369
0.09308	0.014209
0.020985	0.0024
0.363293	0.00189
1.0	0.007091
0.107161	0.002142
0.109957	0.003006
0.1914	0.003958
0.247522	0.037398
0.087585	0.003948
0.099482	0.01297
0.107098	0.004005
0.16215	0.000998
0.029496	0.05376
0.102995	0.001648
0.998817	0.021347
0.380249	0.006136
1.0	0.031159
0.10861	0.034722
0.033859	0.013961
0.170291	0.005827
0.122985	0.050167
0.596672	0.022734
0.081334	0.027392
0.239142	0.038578
0.117374	0.067628
1.0	0.003065
0.379234	0.003399
0.072958	0.019646
0.116601	0.056278
0.041396	0.035531
0.088336	0.003881
0.164038	0.006149
0.046766	0.009348
0.087504	0.030186
0.994846	0.006153
0.135702	0.016646
0.077003	0.049957
0.626723	0.001528
0.084544	0.006086
0.069343	0.057721
0.211487	0.022699
0.279923	0.007787
0.107208	0.025137
0.104024	0.010238
0.067365	0.024626
0.09821	0.001565
0.999332	0.019389
0.059432	0.004624
0.541921	0.010234
0.05264	0.027876
0.057807	0.008435
0.093846	0.001176
0.196027	0.038932
0.145097	0.00927
0.178662	0.033019
0.102746	0.026884
0.074208	0.030574
0.091262	0.075331
0.053961	0.010728
0.206587	0.007699
0.15605	0.006566
0.106214	0.011195
0.100519	0.010673
0.273206	0.016277
0.073245	0.003376
0.306783	0.011076
