model	T5
0.073825	0.000296
0.50738	0.002127
0.000853	0.000928
1.0	0.002111
0.162425	0.000728
1.0	0.001066
0.041584	0.000485
1.0	0.00056
1.0	0.000351
0.002039	0.000196
1.0	0.000342
0.000661	0.000273
0.003054	0.002854
0.096445	0.000409
0.052575	0.000439
0.006695	0.000309
0.005077	0.000332
0.01099	0.000859
0.211392	0.00054
0.00102	0.002572
0.01037	0.001602
0.036462	0.00043
0.01101	0.000891
0.009798	0.001004
1.0	0.000821
0.100715	0.000223
0.034138	0.00028
0.043731	0.000917
0.014503	0.000194
0.164246	0.001207
0.005273	0.000349
0.002698	0.000347
0.00443	0.000382
0.032301	0.001206
0.77905	0.000949
0.001522	0.000692
0.01158	0.001222
0.065134	0.000295
1.0	0.000362
0.002396	0.000269
0.008332	0.000147
0.00337	0.003393
0.015446	0.000477
0.022563	0.000413
0.014706	0.003527
0.010919	0.000807
0.028078	0.000571
0.039616	0.000138
0.052348	0.000403
0.014792	0.001024
0.00405	0.000111
0.005474	0.001765
0.01185	0.000419
1.0	0.00071
1.0	0.001193
0.004344	0.000473
0.001866	0.003211
0.018021	0.000413
0.010428	0.000718
0.345038	0.001292
1.0	0.001609
0.769188	0.003626
0.007776	0.000426
0.030593	0.000142
0.006099	0.002607
0.002891	0.000812
0.00844	0.000193
1.0	0.000726
0.005277	0.000168
0.002383	0.000212
0.819742	0.003124
0.110381	0.001207
1.0	0.00792
0.012707	0.00027
0.009209	0.000931
0.22308	0.000726
0.158409	0.001136
0.12793	0.000396
0.021896	0.001032
0.010095	0.000644
1.0	0.001416
0.001477	0.000228
0.007045	0.008007
0.036147	0.000193
0.018879	0.011427
0.002575	0.002776
0.012761	0.000855
0.007577	0.000444
0.318706	0.001663
0.005618	0.011997
1.0	0.001026
1.0	0.000467
0.007805	0.000612
0.038414	0.001758
0.143918	0.0002
0.007825	0.001407
0.052758	0.000471
0.066628	0.000456
0.529801	0.000789
1.0	0.001435
0.041394	0.000628
0.023554	0.003144
1.0	0.000381
0.001269	0.000451
0.001804	0.000581
1.0	0.000292
0.017685	0.00645
0.003546	0.00055
0.02701	0.000665
1.0	0.000372
0.054481	0.00037
0.068464	0.000219
1.0	0.00043
0.071412	0.011234
0.005435	0.000526
0.038531	0.027272
1.0	0.000797
0.002661	0.000136
0.003693	0.000677
0.0101	0.001107
1.0	0.000217
0.001176	0.002028
0.007487	0.000614
0.002653	0.00021
0.023619	0.003827
0.005219	0.000335
0.050273	0.000899
0.022226	0.001007
0.003359	0.000604
0.039504	0.003211
0.004892	0.000543
0.00408	0.000667
0.001452	0.000467
1.0	0.000501
0.010717	0.00084
0.045795	0.000204
0.005663	0.002155
0.617578	0.000607
0.016678	0.000311
0.003382	0.000322
0.005496	0.001181
0.152567	0.00042
0.003457	0.00036
0.008286	0.001459
0.01011	0.000831
0.00377	0.000752
1.0	0.000414
0.004182	0.000582
0.001808	0.000223
0.10378	0.000455
1.0	0.001691
0.008867	0.000823
