entry	model(BERT)	T5(BERT)	model(MINILM)	T5(MINILM)	model(BioSentVec)	T5(BioSentVec)
Q5AK66	0.9927964210510254	0.6300057172775269	0.6989628672599792	0.2862245440483093	0.9066786766052246	0.30110928416252136
A9AJN2	0.912675142288208	0.40115442872047424	0.5437347292900085	0.2292402684688568	0.854214608669281	0.1838568150997162
Q8Y6C6	0.9433761835098267	0.6457727551460266	0.4855897128582001	0.30299243330955505	0.8487697243690491	0.5340853929519653
P32747	0.9931243062019348	0.7425539493560791	0.8503316044807434	0.45273154973983765	0.9107485413551331	0.37420129776000977
P0A7D7	0.9949705004692078	0.5707622170448303	0.7583742737770081	0.27292922139167786	0.8892963528633118	0.2990819215774536
Q0ADT8	0.975540041923523	0.34443405270576477	0.5997494459152222	0.09116306900978088	0.8510223031044006	0.18885695934295654
P09118	0.812814474105835	0.6215927600860596	0.4115855395793915	0.2951991856098175	0.5347601175308228	0.43958356976509094
Q4ZXU7	0.9917625784873962	0.43787628412246704	0.8703880310058594	0.15980784595012665	0.9301477074623108	0.26163697242736816
Q89MN4	0.9902111291885376	0.7200937867164612	0.8418328166007996	0.5427482724189758	0.9339816570281982	0.5008808970451355
B4L629	0.9536839723587036	0.7230823040008545	0.7097053527832031	0.45603108406066895	0.8791155815124512	0.3050251007080078
Q26998	0.9917625784873962	0.6483075618743896	0.8703880310058594	0.248529314994812	0.9301477074623108	0.33265501260757446
O67914	0.9917625784873962	0.4502969980239868	0.8703880310058594	0.17099377512931824	0.9301477074623108	0.2914585769176483
Q9M336	0.9917625784873962	0.533027172088623	0.8703880310058594	0.07984316349029541	0.9301477074623108	0.16724036633968353
Q8NBZ7	0.992947518825531	0.6590790748596191	0.7749539017677307	0.15357159078121185	0.8289992809295654	0.22592417895793915
P45359	0.8077573180198669	0.47262269258499146	0.32561779022216797	0.1858009546995163	0.4528653621673584	0.17604215443134308
Q8YA44	0.9383071660995483	0.404585063457489	0.6420241594314575	0.17320241034030914	0.8644415140151978	0.25345346331596375
P35202	0.9927492141723633	0.6981817483901978	0.7020495533943176	0.27834224700927734	0.9404070973396301	0.2132440209388733
B8E2R2	0.9934531450271606	0.689782977104187	0.7189450263977051	0.3912954032421112	0.9346465468406677	0.46492815017700195
Q9C7W7	0.976549506187439	0.2660423517227173	0.6605446338653564	0.0816231220960617	0.7733494639396667	0.1894122064113617
P20049	0.9920852184295654	0.45944368839263916	0.7251685857772827	0.20533277094364166	0.9163321256637573	0.15235444903373718
A0A063C1W0	0.9817885160446167	0.6581102609634399	0.6417533159255981	0.1507263034582138	0.6948130130767822	0.21318189799785614
O14171	0.9827302694320679	0.6564742922782898	0.6103386878967285	0.2272872030735016	0.8531391024589539	0.17822754383087158
Q03899	0.9833579659461975	0.31379351019859314	0.7100395560264587	0.014466531574726105	0.8438054323196411	0.13892832398414612
B7LR95	0.9713884592056274	0.6528438329696655	0.7118660807609558	0.40722236037254333	0.8614210486412048	0.539169192314148
Q8Y6V0	0.9367135763168335	0.33987051248550415	0.6565682888031006	0.18291205167770386	0.8226813673973083	0.15642833709716797
A4QJC4	0.9937253594398499	0.5557704567909241	0.742378830909729	0.22284525632858276	0.9233755469322205	0.3726120889186859
P42449	0.9910940527915955	0.7292650938034058	0.724394679069519	0.27875852584838867	0.8771831393241882	0.5484791994094849
Q8T8B9	0.9811198711395264	0.539974570274353	0.6401610970497131	0.2225768268108368	0.7855198383331299	0.3110434114933014
Q2T4M6	0.9937253594398499	0.576538622379303	0.742378830909729	0.26026037335395813	0.9233755469322205	0.30830109119415283
Q8X6C6	0.9935041666030884	0.32078254222869873	0.793156623840332	0.1383136510848999	0.954841673374176	0.1495545208454132
P86199	0.9778015613555908	0.572450578212738	0.7294995784759521	0.42800483107566833	0.7785431146621704	0.22013135254383087
Q84WW2	0.9928717613220215	0.38592761754989624	0.7444256544113159	0.1036270260810852	0.9254021644592285	0.1512918770313263
P80916	0.9816257953643799	0.821282684803009	0.6133185625076294	0.4718816578388214	0.7789860367774963	0.3630010485649109
A3MNG2	0.9931402206420898	0.585494339466095	0.7584860324859619	0.2888823449611664	0.9053025841712952	0.30289071798324585
P19414	0.9456788301467896	0.6981832981109619	0.5624884963035583	0.3553275465965271	0.7026844024658203	0.48021402955055237
O55137	0.974514901638031	0.8385952115058899	0.5793733596801758	0.4211829900741577	0.7680304050445557	0.43703946471214294
P58938	0.9891016483306885	0.738235592842102	0.7778276205062866	0.3279441297054291	0.8129437565803528	0.25727370381355286
Q6G8J2	0.9729955792427063	0.7980332374572754	0.7477359771728516	0.5551413297653198	0.8052805662155151	0.5228663682937622
Q65G33	0.9729955792427063	0.537925660610199	0.7477359771728516	0.0999479740858078	0.8052805662155151	0.21239028871059418
O13843	0.9866924285888672	0.29579973220825195	0.7712628245353699	0.10403341799974442	0.6706440448760986	0.046371690928936005
P42744	0.9799612164497375	0.503320574760437	0.6315512657165527	0.12723176181316376	0.8252504467964172	0.12468115240335464
B0K2C2	0.9899216890335083	0.6136500239372253	0.7354038953781128	0.2561034560203552	0.7816042900085449	0.11762004345655441
E2E2N4	0.9837130904197693	0.507654070854187	0.7364546060562134	0.07101144641637802	0.8578236699104309	0.1388358622789383
Q4WZB3	0.9776131510734558	0.5353269577026367	0.7624050378799438	0.15737055242061615	0.8362627625465393	0.19756737351417542
