model	T5
1.0	0.002272
0.999024	0.007267
1.0	0.004815
1.0	0.000438
1.0	0.000665
0.997242	0.001687
1.0	0.002488
1.0	0.003049
0.99831	0.016545
1.0	0.002611
1.0	0.000838
0.386361	0.001007
1.0	0.001083
1.0	0.000939
1.0	0.004489
1.0	0.000909
1.0	0.000292
1.0	0.00937
0.998049	0.000774
0.997611	0.002112
0.997611	0.00259
0.151366	0.010993
0.065287	0.00625
0.356691	0.001362
0.997611	0.001909
1.0	0.003991
0.229883	0.000882
0.271632	0.000826
1.0	0.001013
0.997242	0.002176
0.998836	0.00434
0.999024	0.005253
0.007395	0.000526
0.997242	0.005423
0.99862	0.001065
1.0	0.000536
0.99742	0.00997
0.999024	0.001156
0.998457	0.000854
0.711455	0.002229
1.0	0.000725
0.141966	0.000632
0.997242	0.003479
0.328379	0.000593
0.99862	0.004888
0.031748	0.001223
0.002664	0.000337
0.489176	0.002178
0.997611	0.001076
1.0	0.000971
1.0	0.001082
0.99862	0.001239
0.011991	0.004462
1.0	0.006557
0.997611	0.003312
0.997242	0.000211
0.997242	0.001133
0.999024	0.002051
0.106409	0.004981
0.997242	0.002352
0.14986	0.001486
1.0	0.001834
0.062299	0.001149
0.062299	0.001149
1.0	0.001294
0.998049	0.001085
0.997242	0.000803
1.0	0.000863
0.997242	0.000743
0.997611	0.000927
1.0	0.001051
0.997242	0.010459
0.996917	0.003286
1.0	0.001374
0.998175	0.008801
1.0	0.000893
0.997242	9.3e-05
0.997242	0.010459
0.997242	0.000414
1.0	0.002017
0.142149	0.002499
0.999024	0.003839
0.999024	0.00535
0.999024	0.00123
0.997242	0.00025
1.0	0.001197
0.618199	0.003711
0.997819	0.002785
0.127194	0.002628
0.220412	0.003067
0.999024	0.006026
0.997242	9.3e-05
0.997242	0.005652
0.01255	0.001067
0.024579	0.002718
0.461929	0.000509
0.161725	0.001021
0.005372	0.002445
1.0	0.003331
0.997242	0.001731
0.997242	0.011828
0.997242	0.000261
1.0	0.001017
0.997242	0.002856
0.422198	0.001841
1.0	0.001824
1.0	0.011096
0.999507	0.019283
0.213697	0.000998
0.99742	0.028678
1.0	0.00222
0.997242	0.000165
1.0	0.006519
1.0	0.004402
0.997242	0.000299
1.0	0.001373
0.148193	0.034365
1.0	0.001234
0.161725	0.000926
0.997242	0.003853
0.99931	0.005214
0.99931	0.006914
0.997242	0.000537
0.99742	0.002321
1.0	0.001721
1.0	0.001633
0.999024	0.002962
0.998805	0.002164
0.997242	0.000803
0.168008	0.001011
1.0	0.001457
1.0	0.006801
0.121421	0.000938
0.997611	0.003574
1.0	0.00251
1.0	0.001052
0.997242	0.002856
1.0	0.00053
0.99862	0.004004
0.468049	0.001275
0.999024	0.00129
0.997242	0.000331
0.997242	0.001839
0.997611	0.014957
1.0	0.007108
0.014415	0.011682
0.999192	0.00129
0.997242	0.001839
0.997611	0.000506
0.093222	0.00113
1.0	0.000375
0.292847	0.009734
0.752916	0.004845
1.0	0.005329
1.0	0.00795
0.997611	0.005
1.0	0.000485
0.99931	0.002212
0.997242	0.002856
1.0	0.00156
1.0	0.000704
1.0	0.002275
1.0	0.000563
0.45935	0.004313
0.15732	0.005089
1.0	0.001423
1.0	0.013229
0.99831	0.001105
0.997242	0.003772
0.999024	0.001926
1.0	0.000937
1.0	0.005092
0.99742	0.001133
0.263797	0.002739
