model	T5
1.0	0.004064
0.998049	0.023475
1.0	0.029065
1.0	0.001386
1.0	0.001442
0.994491	0.008632
1.0	0.012993
1.0	0.014139
0.996623	0.038711
1.0	0.00583
1.0	0.002669
0.437234	0.003858
1.0	0.003301
1.0	0.004192
1.0	0.006046
1.0	0.002658
1.0	0.000511
1.0	0.031681
0.996102	0.002137
0.995227	0.010875
0.995227	0.00498
0.214848	0.016031
0.1276	0.021899
0.382384	0.002798
0.995227	0.011309
1.0	0.020535
0.229884	0.003267
0.301904	0.002537
1.0	0.005169
0.994491	0.010655
0.997674	0.004803
0.998049	0.019945
0.053189	0.000865
0.994491	0.00723
0.997242	0.005722
1.0	0.001399
0.994846	0.023138
0.998049	0.002267
0.996917	0.003591
0.711224	0.009873
1.0	0.004171
0.179799	0.001627
0.994491	0.011457
0.348478	0.001421
0.997242	0.029087
0.063888	0.004192
0.009353	0.001172
0.489175	0.00614
0.995227	0.002579
1.0	0.003965
1.0	0.005347
0.997242	0.004898
0.027523	0.019215
1.0	0.010787
0.995227	0.014832
0.994491	0.0003
0.994491	0.001169
0.998049	0.016381
0.143773	0.014978
0.994491	0.0065
0.254121	0.010008
1.0	0.012844
0.093179	0.004347
0.093179	0.004347
1.0	0.005316
0.996102	0.004248
0.994491	0.002184
1.0	0.00559
0.994491	0.001888
0.995227	0.002618
1.0	0.002661
0.994491	0.016175
0.993843	0.013885
1.0	0.00467
0.996353	0.040628
1.0	0.002592
0.994491	0.000241
0.994491	0.016175
0.994491	0.001378
1.0	0.013654
0.274736	0.017263
0.998049	0.005501
0.998049	0.014198
0.998049	0.003912
0.994491	0.000452
1.0	0.005002
0.672789	0.014748
0.995643	0.011176
0.15653	0.007929
0.281849	0.018393
0.998049	0.046482
0.994491	0.000241
0.994491	0.017829
0.075848	0.002395
0.053752	0.01853
0.512198	0.001934
0.221718	0.001858
0.024923	0.00806
1.0	0.010752
0.994491	0.004001
0.994491	0.010178
0.994491	0.000793
1.0	0.004355
0.994491	0.010617
0.421615	0.002768
1.0	0.013494
1.0	0.049266
0.999014	0.051435
0.284345	0.002182
0.994846	0.028314
1.0	0.008876
0.994491	0.000369
1.0	0.014886
1.0	0.012449
0.994491	0.000547
1.0	0.004961
0.219638	0.079987
1.0	0.005144
0.221718	0.00529
0.994491	0.007881
0.99862	0.013227
0.99862	0.014565
0.994491	0.001103
0.994846	0.008803
1.0	0.005707
1.0	0.007521
0.998049	0.030888
0.997611	0.013899
0.994491	0.002184
0.249863	0.005829
1.0	0.003692
1.0	0.022321
0.162196	0.003477
0.995227	0.010082
1.0	0.011652
1.0	0.004223
0.994491	0.010617
1.0	0.002675
0.997242	0.011761
0.522552	0.007673
0.998049	0.002562
0.994491	0.00057
0.994491	0.001858
0.995227	0.044943
1.0	0.024755
0.030735	0.02654
0.998384	0.006573
0.994491	0.001858
0.995227	0.001958
0.093222	0.00208
1.0	0.001386
0.371753	0.05125
0.752919	0.021471
1.0	0.023594
1.0	0.046497
0.995227	0.013597
1.0	0.0014
0.99862	0.016009
0.994491	0.010617
1.0	0.001951
1.0	0.001593
1.0	0.005573
1.0	0.001805
0.516989	0.031058
0.211338	0.015461
1.0	0.004824
1.0	0.034176
0.996623	0.005136
0.994491	0.004203
0.998049	0.016528
1.0	0.002027
1.0	0.036276
0.994846	0.002358
0.39988	0.011335
0.030992	0.007911
1.0	0.001022
0.994491	0.000707
0.994846	0.000333
0.215672	0.0048
0.994491	0.003962
0.107302	0.014424
0.051407	0.002159
0.016883	0.006013
0.994491	0.001597
0.994491	0.042863
0.994491	0.005138
0.231533	0.001702
0.996102	0.015366
0.176149	0.007484
1.0	0.002018
1.0	0.029941
1.0	0.073794
0.994491	0.014646
0.996102	0.005071
0.208653	0.010492
0.114779	0.008394
0.997297	0.005288
0.046629	0.008187
0.998384	0.019551
0.994491	0.002222
0.017071	0.007808
0.994846	0.002445
1.0	0.0059
0.994846	0.007895
0.994491	0.005996
1.0	0.015527
0.995675	0.015178
0.994491	0.065762
0.997242	0.002256
0.995227	0.003846
0.211107	0.003741
0.213448	0.004297
0.994491	0.001553
0.056441	0.0091
0.994491	0.005271
1.0	0.006645
1.0	0.000379
1.0	0.010207
0.514378	0.005839
1.0	0.004958
1.0	0.032418
0.016883	0.00264
0.025724	0.004569
1.0	0.025888
0.994491	0.000432
0.998857	0.008652
0.995227	0.005675
0.994846	0.002878
0.994491	6.4e-05
0.131933	0.002056
0.994491	0.006435
0.414779	0.003572
0.994491	0.003851
1.0	0.001491
1.0	0.007415
1.0	0.008078
1.0	0.008261
1.0	0.006528
1.0	0.0089
0.33979	0.032832
0.019971	0.002739
0.605135	0.002526
0.080663	0.02084
0.996102	0.010514
0.994491	0.001009
0.994846	0.002372
1.0	0.001612
0.994491	0.003897
0.994491	0.010617
0.994491	0.002165
0.994491	0.010617
1.0	0.019447
0.994491	0.000778
0.994491	0.001826
0.994846	0.01297
1.0	0.000876
0.997611	0.015734
0.994491	0.032223
0.994491	0.010617
0.994491	0.001528
0.996102	0.009919
0.994491	0.002969
0.994846	0.023801
0.994491	0.010617
0.994491	0.000793
0.994491	0.007977
0.994491	0.010617
1.0	0.008508
0.997611	0.03078
0.997611	0.001541
0.997571	0.051007
0.999024	0.011951
0.994846	0.065079
0.994491	0.002381
0.994491	0.001492
0.171586	0.002648
1.0	0.033217
0.994491	0.003827
1.0	0.001642
0.202621	0.009143
0.178744	0.000241
0.994491	0.000547
0.373559	0.004841
1.0	0.062758
1.0	0.013449
0.99862	0.005604
0.994491	0.001078
1.0	0.009107
0.994491	0.03747
0.995227	0.002023
1.0	0.013388
1.0	0.008203
0.994491	0.003551
0.994491	0.033597
0.994491	0.015976
0.994491	0.003393
0.208653	0.056334
0.208653	0.00743
0.996623	0.012151
0.996102	0.024063
0.996102	0.010068
1.0	0.038503
0.996623	0.007121
0.994491	0.005218
0.195428	0.017635
0.093222	0.004061
0.994491	0.005973
1.0	0.025242
0.994491	0.003774
1.0	0.007378
0.042034	0.013022
0.997242	0.005339
0.322353	0.002112
1.0	0.034804
0.997242	0.012255
0.994491	0.002165
0.994491	0.001913
0.994491	0.01711
0.994846	0.026481
0.994491	0.003551
0.994491	0.002595
1.0	0.011558
0.156954	0.003824
0.994491	0.008198
1.0	0.001523
1.0	0.044567
1.0	0.00705
0.996102	0.006674
0.159228	0.001149
0.069681	0.002243
1.0	0.000689
1.0	0.005111
0.994491	0.000721
1.0	0.001557
0.994491	0.010617
0.994491	0.028202
0.171586	0.002404
0.994491	0.00057
0.053963	0.010091
0.994491	0.00118
0.016883	0.001683
1.0	0.003106
0.994491	3e-05
1.0	0.010011
0.994846	0.002372
0.233241	0.004818
0.994491	0.018445
0.221718	0.001299
0.994491	0.001858
0.994491	0.011457
0.320786	0.047037
1.0	0.000853
0.082583	0.000907
0.053856	0.009979
0.124273	0.003511
0.994491	0.00099
0.996623	0.009631
0.996623	0.003585
1.0	0.012724
1.0	0.012953
1.0	0.017565
0.999034	0.015391
0.999178	0.008827
1.0	0.021876
1.0	0.006953
0.206513	0.002798
1.0	0.011151
0.994491	0.010108
0.994491	0.00024
1.0	0.00688
0.994491	0.00107
1.0	0.003489
0.994491	0.001851
1.0	0.012266
0.226085	0.04187
0.994491	0.00783
1.0	0.005131
1.0	0.002643
0.994491	0.010617
0.016883	0.007029
0.998049	0.000573
0.994491	0.00138
1.0	0.006555
1.0	0.010111
1.0	0.007363
1.0	0.005464
0.994491	0.000275
1.0	0.009892
0.99862	0.010974
0.373559	0.005435
0.993257	0.00128
0.993257	0.00161
0.300867	0.01464
1.0	0.02689
0.070773	0.013905
1.0	0.014034
1.0	0.010522
0.401144	0.039179
1.0	0.005783
0.19477	0.006552
1.0	0.003266
0.994491	0.02047
0.231274	0.007061
0.998049	0.035253
0.994491	0.009113
1.0	0.008444
0.162021	0.005994
1.0	0.003475
1.0	0.024755
1.0	0.002792
0.994491	0.000477
0.994491	0.001009
0.994491	0.001781
0.994846	0.026481
0.99862	0.003698
1.0	0.001678
1.0	0.024069
0.994491	0.028202
0.994491	0.003758
1.0	0.001215
0.372137	0.019414
1.0	0.014161
1.0	0.001797
0.348426	0.033036
0.01622	0.000829
0.072713	0.003815
1.0	0.009108
1.0	0.00625
0.994491	0.001202
0.310775	0.003907
0.998049	0.032231
0.994491	0.000876
0.994491	0.009064
1.0	0.00358
1.0	0.008994
0.994491	0.001858
0.994491	0.008362
1.0	0.015734
0.211107	0.007139
1.0	0.007307
0.994491	0.001198
0.994491	0.000624
0.994491	0.000744
0.281165	0.008435
0.221718	0.002404
0.994491	0.002212
0.997242	0.001005
0.219735	0.004046
0.997242	0.011062
0.994491	0.016175
0.996623	0.010224
0.16318	0.002215
0.996102	0.009548
0.174376	0.016374
1.0	0.002393
0.358687	0.003399
0.27534	0.002291
0.998049	0.016556
0.320786	0.028197
0.348426	0.042638
0.996102	0.011807
1.0	0.011869
0.297925	0.0021
0.0674	0.013948
0.998049	0.003529
1.0	0.013152
0.461008	0.015356
0.998049	0.008737
0.998049	0.003034
0.998049	0.007734
0.695957	0.003769
0.026944	0.002102
0.296004	0.008048
1.0	0.001232
1.0	0.00171
1.0	0.000713
1.0	0.027071
1.0	0.001481
0.994491	0.013022
0.994491	0.028202
0.179023	0.015876
0.219418	0.014239
0.997611	0.004819
0.997242	0.010575
0.995643	0.016607
0.997611	0.014105
1.0	0.016865
1.0	0.03557
1.0	0.001454
0.995227	0.031226
0.997242	0.02747
0.261333	0.006333
0.995227	0.011323
0.994491	0.035088
0.996102	0.016826
0.996102	0.001747
1.0	0.019288
0.994846	0.001309
1.0	0.009469
1.0	0.006963
1.0	0.004755
0.995227	0.015971
0.069681	0.010535
0.106558	0.020471
0.409076	0.012427
0.996102	0.049914
0.02341	0.000972
0.996102	0.000293
1.0	0.00115
0.996102	0.000706
0.996623	0.008995
0.246292	0.020255
0.994491	0.002793
1.0	0.003012
