model	T5
1.0	0.00127
1.0	0.002165
1.0	0.000798
1.0	0.000138
1.0	0.000307
1.0	0.00033
1.0	0.000476
1.0	0.000541
1.0	0.006875
1.0	0.00117
1.0	0.000254
0.341407	0.000262
1.0	0.000304
1.0	0.00021
1.0	0.003333
1.0	0.000303
1.0	0.000164
1.0	0.002771
1.0	0.000261
1.0	0.00041
1.0	0.00119
0.106641	0.003846
0.033404	0.001695
0.332725	0.000533
1.0	0.000322
1.0	0.000776
0.229883	0.000238
0.244396	0.000269
1.0	0.000199
1.0	0.000444
1.0	0.003392
1.0	0.001383
0.001028	0.000231
1.0	0.003899
1.0	0.000198
1.0	0.000204
1.0	0.003975
1.0	0.000588
1.0	0.000199
0.711687	0.000478
1.0	0.000126
0.112095	0.000246
1.0	0.001057
0.30944	0.000247
1.0	0.000821
0.015777	0.000357
0.000759	9.7e-05
0.489177	0.000586
1.0	0.000421
1.0	0.000236
1.0	0.000219
1.0	0.000314
0.005224	0.001036
1.0	0.003985
1.0	0.000739
1.0	0.000146
1.0	0.00101
1.0	0.000256
0.078755	0.001656
1.0	0.000851
0.088375	0.000221
1.0	0.000262
0.041653	0.000304
0.041653	0.000304
1.0	0.000315
1.0	0.000272
1.0	0.000283
1.0	0.000133
1.0	0.000284
1.0	0.000328
1.0	0.000415
1.0	0.005692
1.0	0.000778
1.0	0.000404
1.0	0.001907
1.0	0.000306
1.0	3.6e-05
1.0	0.005692
1.0	0.000124
1.0	0.000298
0.073548	0.000362
1.0	0.002585
1.0	0.002013
1.0	0.000377
1.0	0.000122
1.0	0.000287
0.568039	0.000934
1.0	0.000694
0.103356	0.000871
0.172368	0.000511
1.0	0.000781
1.0	3.6e-05
1.0	0.001792
0.002076	0.000455
0.011239	0.000399
0.416593	0.000134
0.117965	0.000551
0.001158	0.000741
1.0	0.001032
1.0	0.000749
1.0	0.011507
1.0	8.6e-05
1.0	0.000238
1.0	0.000768
0.422782	0.001186
1.0	0.000246
1.0	0.002499
1.0	0.007229
0.160602	0.000442
1.0	0.027834
1.0	0.000555
1.0	7.3e-05
1.0	0.002855
1.0	0.001556
1.0	0.000164
1.0	0.00038
0.099988	0.014765
1.0	0.000292
0.117965	0.000162
1.0	0.001761
1.0	0.001627
1.0	0.002899
1.0	0.000257
1.0	0.000612
1.0	0.00049
1.0	0.000353
1.0	0.000284
1.0	0.000337
1.0	0.000283
0.112969	0.000175
1.0	0.000535
1.0	0.001951
0.090897	0.000243
1.0	0.001267
1.0	0.000541
1.0	0.000262
1.0	0.000768
1.0	0.000105
1.0	0.001363
0.41923	0.000193
1.0	0.00065
1.0	0.000192
1.0	0.001444
1.0	0.004977
1.0	0.00204
0.00676	0.005142
1.0	0.000253
1.0	0.001444
1.0	0.000131
0.093222	0.000614
1.0	0.000101
0.230689	0.001849
0.752912	0.001093
1.0	0.001203
1.0	0.001359
1.0	0.001839
1.0	0.000162
1.0	0.000306
1.0	0.000768
1.0	0.000962
1.0	0.000276
1.0	0.000836
1.0	0.000175
0.408137	0.000599
0.117109	0.001663
1.0	0.00042
1.0	0.005025
1.0	0.000238
1.0	0.003125
1.0	0.000224
1.0	0.000425
1.0	0.000715
1.0	0.000465
0.174025	0.00066
0.00693	0.00046
1.0	0.000114
1.0	0.000137
1.0	0.000136
0.10862	0.000568
1.0	0.000672
0.049846	0.001116
0.025443	0.000135
0.002686	0.000417
1.0	0.000189
1.0	0.009332
1.0	0.000777
0.06704	0.000183
1.0	0.000547
0.05996	0.000617
1.0	0.000975
1.0	0.00189
1.0	0.004263
1.0	0.00436
1.0	0.000374
0.075859	0.00043
0.020338	0.00036
1.0	0.001467
0.011511	0.000472
1.0	0.000423
1.0	0.001924
0.001806	0.000395
1.0	0.000238
1.0	0.001638
1.0	0.000347
1.0	0.002779
1.0	0.000538
1.0	0.000628
1.0	0.044355
1.0	0.004243
1.0	0.000299
0.211107	0.000397
0.213449	0.00108
1.0	0.000567
0.001923	0.003512
1.0	0.00067
1.0	0.001295
1.0	8.9e-05
1.0	0.002162
0.515609	0.00116
1.0	0.000442
