entry	model(BERT)	T5(BERT)	model(MINILM)	T5(MINILM)	model(BioSentVec)	T5(BioSentVec)
A3QGU0	0.9999998807907104	0.7667058706283569	1.0	0.6044101119041443	1.0	0.5997897982597351
B4MXR8	0.6968280076980591	0.3605828881263733	0.47212809324264526	0.035537153482437134	0.6319490075111389	0.03629576414823532
Q70EW5	0.5502957701683044	0.3681240379810333	0.11920280754566193	0.045516401529312134	0.055410657078027725	0.08755137026309967
Q9LX49	0.6957405805587769	0.3328908085823059	0.3641471862792969	0.21233625710010529	0.7326072454452515	0.22351618111133575
Q1DNY1	1.0	0.5690037608146667	0.9999998807907104	0.07704172283411026	1.0	0.1608901172876358
O78455	0.5019170641899109	0.5602926015853882	0.6279582977294922	0.1300087571144104	0.6535457372665405	0.4724915325641632
Q5AK66	0.8512972593307495	0.5886040925979614	0.7820386290550232	0.3549395203590393	0.7057481408119202	0.4081213176250458
A9AJN2	0.5738599300384521	0.49506786465644836	0.2614723742008209	0.4071035385131836	0.2929220199584961	0.19622258841991425
A4GYS5	0.9999999403953552	0.3991897702217102	0.9999998807907104	0.13168367743492126	1.0	0.4582410156726837
P23470	0.7559995651245117	0.5518604516983032	0.37517088651657104	0.31371423602104187	0.6099980473518372	0.2113531529903412
B0SA29	0.6702785491943359	0.6878072619438171	0.8562149405479431	0.5493552684783936	0.7736157774925232	0.4539063274860382
Q85G21	1.0	0.5148098468780518	1.0000001192092896	0.36309024691581726	1.0	0.31966084241867065
P0A7D7	0.6350345015525818	0.42427951097488403	0.5855483412742615	0.22566719353199005	0.3755558133125305	0.24324814975261688
B5FF00	0.4317275285720825	0.4013495147228241	0.08875662833452225	0.03497008979320526	0.21813151240348816	0.0956856906414032
Q0VQF5	1.0	0.3332269787788391	1.0	0.054899364709854126	1.0	0.1952837109565735
Q0CSG1	0.6918575167655945	0.7473098039627075	0.3449350595474243	0.6118349432945251	0.1210000216960907	0.48385462164878845
Q1HQK8	0.8713666200637817	0.5342344641685486	0.8762372136116028	0.591968297958374	0.7676498293876648	0.36518967151641846
B2U2D7	0.9999998807907104	0.45689189434051514	1.0	0.05668611079454422	1.0	0.06029079481959343
Q9JJG0	0.9942241907119751	0.5989187359809875	0.9773898124694824	0.0934218168258667	0.9986589550971985	0.22807389497756958
P63384	0.9287528991699219	0.4576862156391144	0.911742091178894	0.13446855545043945	0.8250322937965393	0.14799334108829498
B4L629	0.6233361959457397	0.6031020283699036	0.2114579677581787	0.12144622206687927	0.5006824731826782	0.24019315838813782
Q5R5C1	0.3620242178440094	0.4819267988204956	0.012314984574913979	0.2974085509777069	0.23272192478179932	0.23401255905628204
Q9LTT9	1.0	0.5647095441818237	1.000000238418579	0.08859958499670029	1.0	0.21213601529598236
O68557	0.9999998807907104	0.43953222036361694	1.0	0.0944904312491417	1.0	0.15364126861095428
P63027	0.4711829423904419	0.4460484981536865	0.6061442494392395	0.2830831706523895	0.7875562906265259	0.22359003126621246
P09727	1.0000001192092896	0.43394264578819275	0.9999999403953552	0.048101913183927536	1.0	0.08793308585882187
Q26998	0.6797667741775513	0.7052305936813354	0.6065440773963928	0.25049781799316406	0.7398979663848877	0.4435617923736572
Q23680	0.8713666200637817	0.5265365839004517	0.863788902759552	0.3013996183872223	0.7668703198432922	0.35356858372688293
O24840	0.8353233337402344	0.4745282232761383	0.8273519277572632	0.061578765511512756	0.7660017609596252	0.07891856878995895
Q60931	0.9421103596687317	0.5230994820594788	0.8162927031517029	0.08730759471654892	0.9306879043579102	0.1828521490097046
Q80Z96	0.700079083442688	0.6802844405174255	0.16502460837364197	0.16387423872947693	0.3500547409057617	0.2955627143383026
P39001	0.9694808125495911	0.3705214560031891	0.9542835354804993	0.0005098769906908274	0.9477568864822388	0.10581967979669571
O42392	0.6516510844230652	0.4524499773979187	0.6973958611488342	0.15324072539806366	0.6422402262687683	0.1813771277666092
Q8NBZ7	1.0	0.5481835603713989	1.0	0.1370936930179596	1.0	0.11622889339923859
O74174	0.8713666200637817	0.4020021855831146	0.8569819331169128	0.10750056803226471	0.7675131559371948	0.20764464139938354
Q4KUS2	0.742006778717041	0.5744579434394836	0.575306236743927	0.3066112697124481	0.7548488974571228	0.30673691630363464
Q2R237	0.33613333106040955	0.4957461953163147	0.46198511123657227	0.3565870225429535	0.5616670250892639	0.32724910974502563
Q8SS85	0.49238911271095276	0.5799415707588196	0.1386009156703949	0.29918068647384644	0.3558407127857208	nan
P15806	0.8424237966537476	0.6392312049865723	0.6582289338111877	0.3514115512371063	0.8176469802856445	0.43116337060928345
P40227	0.9877952337265015	0.5876489877700806	0.9259432554244995	0.11868232488632202	0.9202961921691895	0.2384694665670395
Q09057	0.41267091035842896	0.4889712333679199	0.09747979044914246	0.11089660227298737	0.2879287004470825	0.1794913411140442
P35202	0.9646241664886475	0.45988279581069946	0.6811324954032898	-0.0003123907372355461	0.6204937696456909	0.14946216344833374
Q53AQ4	0.7417519092559814	0.5926527976989746	0.3496031165122986	0.12384221702814102	0.7900060415267944	0.154688760638237
Q61Z83	0.7727216482162476	0.5335798263549805	0.9047233462333679	0.13323412835597992	0.8154038190841675	0.33177775144577026
P35503	0.9849286079406738	0.49904513359069824	0.9760856628417969	0.2667546272277832	0.9862469434738159	0.22260800004005432
Q1H9T6	0.9951317310333252	0.6253321170806885	0.9719990491867065	0.15228921175003052	1.0	0.1108911857008934
P55033	1.0	0.42595386505126953	1.0	0.3694100081920624	1.0	0.24247537553310394
Q7YZT0	0.5584568977355957	0.4329264760017395	0.14496871829032898	0.04324885085225105	0.2349536269903183	0.07918287068605423
Q39258	1.0	0.6508012413978577	1.0	0.30839091539382935	1.0	0.2953295409679413
P35456	0.9169378280639648	0.5067330598831177	0.8751924633979797	0.21001258492469788	0.959071934223175	0.21608753502368927
Q57GJ9	0.443023145198822	0.324369877576828	0.2970713675022125	-0.030926823616027832	0.4680251479148865	0.1381385624408722
P0ABU2	1.0	0.44582730531692505	1.0000001192092896	0.13774468004703522	1.0	0.1114787608385086
P0A9U1	0.9564462900161743	0.6595553755760193	0.9737430810928345	0.6126477122306824	0.9720271825790405	0.35859596729278564
O14171	0.966895580291748	0.6282674074172974	0.7566340565681458	0.15504254400730133	0.9486300349235535	0.16561231017112732
Q03899	0.9931367039680481	0.4543921947479248	0.9723381400108337	-0.0228099524974823	0.995959997177124	0.19682841002941132
O07550	0.6326894164085388	0.5649323463439941	0.48603448271751404	0.21581654250621796	0.5520520210266113	0.10877753794193268
Q6FSB1	1.0	0.6587826609611511	1.000000238418579	0.5009695887565613	1.0	0.4300011992454529
B7LR95	0.6608855724334717	0.32140710949897766	0.33889099955558777	0.1527509242296219	0.47321563959121704	0.16737739741802216
P49579	0.7620922327041626	0.48164060711860657	0.34053701162338257	0.26109766960144043	0.4904318153858185	0.19829492270946503
B4TBN5	1.0	0.5991286635398865	0.9999999403953552	0.22382427752017975	1.0	0.29759109020233154
P02716	1.0	0.420967161655426	1.0000001192092896	0.2283245325088501	1.0	0.1482614129781723
Q62388	0.8890395164489746	0.42622244358062744	0.7190322279930115	0.2608086168766022	0.9123997092247009	0.3148888051509857
Q8Y6V0	0.9999998807907104	0.43197640776634216	1.0	-0.031020142138004303	1.0	0.03526359796524048
Q9JYM1	0.9999998807907104	0.32822930812835693	1.0	0.051511116325855255	1.0	0.07800456136465073
Q6LLD4	0.9646241664886475	0.43197640776634216	0.6811324954032898	-0.031020142138004303	0.6204937696456909	0.03526359796524048
O74563	0.5632059574127197	0.5492247939109802	0.37890660762786865	0.2017214298248291	0.4169265925884247	0.16411666572093964
Q89489	0.7368983030319214	0.5264569520950317	0.5434816479682922	0.2910007834434509	0.8037089109420776	0.23396866023540497
Q32KZ2	1.0	0.591018795967102	1.000000238418579	0.03971109539270401	1.0	0.1753397136926651
Q8P980	0.5449013710021973	0.33358126878738403	-0.004645440727472305	0.10129545629024506	0.36111271381378174	0.2064833790063858
P50544	0.9831955432891846	0.5944483280181885	0.962740957736969	0.5581519603729248	1.0	0.33774837851524353
Q9N2A7	0.9952665567398071	0.6111252307891846	0.995794415473938	0.34558865427970886	1.0	0.3010525107383728
P42449	0.6662343740463257	0.6212316751480103	0.39893651008605957	0.17895467579364777	0.4020478129386902	0.17557649314403534
O35152	0.7527239322662354	0.5480453968048096	0.7392604351043701	0.3886064291000366	0.6893258094787598	0.175516739487648
P20699	1.0000001192092896	0.5800830721855164	0.9999999403953552	0.21280087530612946	1.0	0.10260041803121567
Q6DKB0	1.0000001192092896	0.35499638319015503	0.9999999403953552	0.042436860501766205	1.0	0.24677759408950806
Q8T8B9	1.0	0.234989732503891	1.0000001192092896	0.0904170572757721	1.0	0.1253012865781784
Q89XR6	0.9612206220626831	0.45083093643188477	0.6363975405693054	0.2538284659385681	0.5508777499198914	0.21803390979766846
A6X798	0.6451367735862732	0.33208033442497253	0.36705517768859863	0.010150888934731483	0.40658724308013916	0.13739900290966034
P27091	1.0000001192092896	0.33464986085891724	1.0000001192092896	0.14500701427459717	1.0	0.017702525481581688
P96890	0.6386387348175049	0.6675447225570679	0.45265039801597595	0.2285011112689972	0.5595771670341492	0.14558862149715424
Q2T4M6	1.0	0.5591055750846863	0.9999999403953552	0.186153843998909	1.0	0.2586018443107605
Q89AX5	0.9999998807907104	0.4162049889564514	1.0	0.04037688672542572	1.0	0.07601843774318695
Q8N9N5	0.989500105381012	0.5687153339385986	0.894576907157898	0.15490591526031494	0.9772788882255554	0.2925634980201721
Q6PD03	0.992223858833313	0.333707720041275	0.9692899584770203	0.10870027542114258	0.9835412502288818	0.22146397829055786
P07140	0.7649440169334412	0.49320554733276367	0.7432768940925598	0.3437942564487457	0.7114613056182861	0.27764782309532166
Q9WVA3	0.8017909526824951	0.4921705722808838	0.7532100081443787	0.2537628710269928	0.9026601314544678	0.46850869059562683
Q08235	0.5907052755355835	0.6664446592330933	0.07449889183044434	0.1532384604215622	0.19808128476142883	0.07112252712249756
Q5MWV9	0.6147477626800537	0.5528187155723572	0.41185230016708374	0.07216688245534897	0.5445877313613892	0.19939488172531128
Q988D4	0.9999998807907104	0.9355858564376831	1.0	0.8722258806228638	1.0	0.9957919120788574
Q9C4Z3	0.620245099067688	0.534416675567627	0.5006117224693298	0.1266406625509262	0.4722142517566681	0.13175031542778015
P80893	1.0	0.6048895120620728	1.0000001192092896	0.17606021463871002	1.0	0.08971869200468063
C6C2Z3	0.9999998807907104	0.35991382598876953	1.0	0.028279239311814308	1.0	0.1460433006286621
Q8RCZ1	0.9329288601875305	0.4448350965976715	0.9136424660682678	0.13088206946849823	0.9755228757858276	0.1724860668182373
Q65G33	1.0	0.4825015962123871	1.0000001192092896	0.16149581968784332	1.0	0.16414077579975128
O62140	0.5079062581062317	0.456246942281723	0.3880518972873688	0.22055374085903168	0.6157202124595642	0.12305083870887756
Q39250	0.7845761775970459	0.3444827198982239	0.2642435133457184	0.2823551893234253	0.827422559261322	0.2461789846420288
Q29Q26	0.8933244347572327	0.5713579654693604	0.5542371273040771	0.4233255088329315	0.6602862477302551	0.3676762878894806
B0K2C2	0.6451367735862732	0.4695039689540863	0.36705517768859863	0.1384475976228714	0.40658724308013916	0.048910003155469894
E2E2N4	0.9999998807907104	0.363457053899765	1.0	0.14580287039279938	1.0	0.12404761463403702
P55906	1.0	0.6279959678649902	1.000000238418579	0.2727357745170593	1.0	0.1022980809211731
Q75NT5	0.9935194253921509	0.40560197830200195	0.9876986145973206	0.06146472692489624	0.9883757829666138	0.24746157228946686
Q4WZB3	0.9999998807907104	0.4083157777786255	1.0	0.06963694095611572	1.0	0.0845915675163269
P74308	0.6662343740463257	0.37693309783935547	0.39893651008605957	0.1376052051782608	0.4020478129386902	nan
P44411	1.0	0.4223771095275879	1.0000001192092896	0.13366493582725525	1.0	0.15007539093494415
Q9TU18	1.0	0.5996055603027344	1.0000001192092896	0.26957330107688904	1.0	0.24975764751434326
Q53389	0.9646241664886475	0.5251652002334595	0.6811324954032898	0.09494111686944962	0.6204937696456909	0.18241974711418152
Q23590	0.605583667755127	0.236811101436615	0.18652895092964172	0.22706349194049835	0.9545437693595886	0.0584385059773922
O87876	0.7516452074050903	0.5167315602302551	0.5485872030258179	0.2465255856513977	0.5145333409309387	0.2122468650341034
A0A2R6QE26	0.5223433971405029	0.3089778423309326	0.1836342066526413	0.05772765353322029	0.21397927403450012	0.19053570926189423
O60241	0.9980785250663757	0.6655283570289612	0.9985084533691406	0.4809083938598633	1.0	0.2571617066860199
A3MCH6	0.701330304145813	0.42365723848342896	0.26354724168777466	0.17239588499069214	0.5913094282150269	0.163471981883049
P35374	1.0	0.6781221032142639	1.0000001192092896	0.09080112725496292	1.0	0.04939074441790581
Q6AY16	0.8325822353363037	0.43756723403930664	0.8190253973007202	0.1272914856672287	0.9821972846984863	0.059331513941287994
Q8J308	0.9525938630104065	0.5552198886871338	0.7084339261054993	0.08986015617847443	0.516082227230072	0.20491836965084076
P53109	0.42288902401924133	0.4713681638240814	0.07546999305486679	0.1629265546798706	0.10117987543344498	0.09424913674592972
P25773	0.9995791912078857	0.6576350331306458	0.9979191422462463	0.30821049213409424	1.0	0.4239186942577362
Q63ZZ8	0.45212215185165405	0.5843015313148499	0.3999969959259033	0.27842265367507935	0.5775550007820129	0.2276524156332016
P83155	0.9999998807907104	0.4126369059085846	1.0	0.02780602127313614	1.0	0.10541146993637085
Q95JH4	1.0	0.31486713886260986	1.0000001192092896	0.10640814155340195	1.0	0.12642663717269897
G5EFD9	0.7585376501083374	0.5449584722518921	0.37366771697998047	0.2846633195877075	0.6223676204681396	0.2647790312767029
Q86UN6	0.6770330667495728	0.6154224872589111	0.3729288578033447	0.26208043098449707	0.3894158601760864	0.26086780428886414
Q9QZQ1	0.7410829067230225	0.42771825194358826	0.5814669728279114	0.1505250483751297	0.8538802862167358	0.2169254571199417
Q9ESN4	0.918611466884613	0.39879730343818665	0.8060473203659058	0.24895381927490234	0.8727275133132935	0.18255476653575897
Q60I27	0.995469331741333	0.6732121109962463	0.9885094165802002	0.15165039896965027	1.0	0.30828869342803955
O19014	0.6528369188308716	0.6207576394081116	0.19241467118263245	0.22643935680389404	0.6357375383377075	0.03770251199603081
Q93ZG3	0.7761244177818298	0.5658276081085205	0.6670262813568115	0.1335039734840393	0.6525568962097168	0.07556669414043427
O77780	0.6727948784828186	0.4153791666030884	0.33209046721458435	0.10942485183477402	0.49675819277763367	0.18156814575195312
Q93TU6	0.5865418314933777	0.5081737041473389	0.39918220043182373	0.07813072949647903	0.5507829785346985	0.13441723585128784
O35505	0.9999999403953552	0.39260977506637573	0.9801445603370667	0.39890050888061523	0.9592649936676025	0.29645082354545593
P0CJ46	0.9999998807907104	0.4433135390281677	1.0000001192092896	0.13417573273181915	1.0	0.33838924765586853
Q9KWS3	0.5767371654510498	0.4183327257633209	0.14963027834892273	0.182271808385849	0.2368558943271637	0.1462870091199875
P08588	0.7258257269859314	0.6706905364990234	0.48714038729667664	0.3035893440246582	0.91173255443573	0.19606070220470428
Q8VZ56	1.0	0.4662637710571289	1.0000001192092896	0.10526952892541885	1.0	0.14711958169937134
Q3ASI6	0.9581132531166077	0.4012588858604431	0.7086231112480164	0.17220783233642578	0.6813600659370422	0.13506487011909485
Q9ZCT6	0.694536030292511	0.4943486452102661	0.5965762734413147	0.23474715650081635	0.5476292967796326	0.16974489390850067
Q3ZBX7	0.9790709018707275	0.7501940727233887	0.982555091381073	0.23486292362213135	0.9438989162445068	0.26408860087394714
P14630	1.0	0.580886721611023	1.0	0.16233116388320923	1.0	0.19343870878219604
P28035	0.32547613978385925	0.516029953956604	0.033833883702754974	0.33105579018592834	0.23106059432029724	0.18817399442195892
A8N3G7	0.6314466595649719	0.3516901731491089	0.39464303851127625	0.18167494237422943	0.5131181478500366	0.23316843807697296
Q5I4F9	1.0	0.46575111150741577	0.9999999403953552	0.34629178047180176	1.0	0.300451397895813
Q9KLC6	1.0	0.3250246047973633	1.0	0.16963820159435272	1.0	0.24201203882694244
A2T7I6	0.5324276685714722	0.3538357615470886	0.6093416213989258	0.3369060158729553	0.7647876739501953	0.30596867203712463
Q9XUE7	0.8266957998275757	0.6379167437553406	0.6780549883842468	0.4162534177303314	0.5333421230316162	0.37022432684898376
P39058	0.5936669111251831	0.3579173684120178	0.15010198950767517	0.10879366844892502	0.24623829126358032	0.05394267663359642
Q15ZX4	0.6451367735862732	0.35574325919151306	0.36705517768859863	0.11056792736053467	0.40658724308013916	0.17694340646266937
Q9YEK4	0.6451367735862732	0.24371947348117828	0.36705517768859863	0.020715028047561646	0.40658724308013916	0.08990711718797684
P32447	0.5750777721405029	0.41261276602745056	0.6527976989746094	0.13044732809066772	0.7570816874504089	0.2610549032688141
Q8YQB1	0.9999998807907104	0.8071194887161255	0.9999998807907104	0.35402360558509827	1.0	0.30248820781707764
P0DKR8	0.631877064704895	0.37026500701904297	0.31621813774108887	-0.10302242636680603	0.1295580267906189	0.048839468508958817
P22362	0.46573150157928467	0.5661842823028564	0.0693846195936203	0.13178813457489014	0.06974320858716965	0.049888934940099716
Q54MZ3	0.6429874897003174	0.5438054203987122	0.8508910536766052	0.33392250537872314	0.6958009004592896	0.4839020073413849
Q42885	0.987467885017395	0.38025224208831787	0.9707461595535278	0.11787397414445877	1.0	0.1468605250120163
Q5R5Z5	0.6851953864097595	0.5195150971412659	0.6867929697036743	0.2683064639568329	0.7759017944335938	0.36120545864105225
P21933	0.9503151774406433	0.6403716802597046	0.9793601632118225	0.4324720799922943	0.8933030962944031	0.4606776237487793
Q6BS08	0.7845970988273621	0.47298339009284973	0.5401788353919983	0.16708208620548248	0.6570888161659241	0.2720952332019806
Q91820	0.7932933568954468	0.4337379038333893	0.3266579210758209	0.05523616075515747	0.9276330471038818	0.1417287141084671
Q5AR28	0.9999998807907104	0.34013551473617554	1.0	0.007528315763920546	1.0	0.021935127675533295
Q0ZJ35	0.9895880222320557	0.5213702321052551	0.999360978603363	0.5288746953010559	0.9929112792015076	0.4566117823123932
P05626	0.9996604323387146	0.5379812717437744	0.9990110993385315	0.43266719579696655	1.0	0.3611379563808441
Q36852	0.948928713798523	0.27259716391563416	0.9251908659934998	0.07235769927501678	0.7121326327323914	0.09832863509654999
Q8NHY2	0.6700519323348999	0.33341220021247864	0.6387155055999756	-0.004466208629310131	0.750462532043457	0.2673192620277405
Q9SJA2	0.9999998807907104	0.4795127809047699	1.0	0.17465296387672424	1.0	0.05464530736207962
Q9UY33	0.2888695299625397	0.5003169178962708	0.40828993916511536	0.30507412552833557	0.5767449140548706	0.19569723308086395
Q9C7C4	0.6666504740715027	0.6202335357666016	0.31278038024902344	0.5326694846153259	0.6918143630027771	0.48423680663108826
Q5R6L2	0.9281469583511353	0.5795022249221802	0.4255003333091736	0.13165414333343506	0.7927274107933044	0.20584504306316376
Q53CF6	1.0000001192092896	0.5711409449577332	1.0	0.44301721453666687	1.0	0.576260507106781
A1L131	0.6007276177406311	0.707650899887085	0.28711754083633423	0.0878986120223999	0.47127702832221985	0.13103315234184265
Q7SDY3	1.0000001192092896	0.9038301110267639	0.9999998807907104	0.7615835666656494	1.0	0.5744284391403198
Q93104	0.25989580154418945	0.25971803069114685	0.05696800723671913	0.0904606282711029	0.31393396854400635	0.058712273836135864
