model	T5
0.999656	0.005145
0.011356	0.00072
1.0	0.000388
1.0	0.010566
0.273299	0.002163
0.99862	0.002508
0.00549	0.002678
1.0	0.000756
0.006969	0.002784
0.027025	0.027786
0.104378	0.002828
1.0	0.003639
0.054622	0.006702
0.99831	0.005161
0.99831	0.003099
1.0	0.014457
0.999023	0.002352
0.851585	0.000865
0.004663	0.003308
0.047967	0.006383
0.288621	0.002336
0.999203	0.008233
0.014488	0.002294
1.0	0.003286
1.0	0.001518
0.034136	0.001075
0.058424	0.006103
0.99931	0.001281
0.155252	0.000852
0.076195	0.000373
0.009935	0.001725
0.089273	0.001563
0.316413	0.004036
0.007926	0.000518
0.68115	0.002901
0.010036	0.028595
0.323057	0.000284
0.147924	0.00054
0.99908	0.002589
1.0	0.001473
0.103875	0.000318
0.046449	0.002043
0.99862	0.001285
0.016472	0.007667
0.131124	0.000276
0.096536	0.002865
0.0349	0.001477
1.0	0.008774
0.049248	0.003186
0.913653	0.001976
0.316413	0.006117
0.041408	0.004425
0.379231	0.000435
0.999851	0.000531
0.046528	0.00582
0.999615	0.003924
1.0	0.000782
1.0	0.001427
0.27013	0.020825
0.114195	0.000645
0.00382	0.000802
0.35287	0.000647
0.0515	0.008507
0.012259	0.000912
1.0	0.001277
0.078773	0.001023
0.423395	0.001699
0.99831	0.013724
0.03571	0.022907
1.0	0.002035
1.0	0.002478
0.190757	0.005141
0.186045	0.002938
0.001212	0.00283
1.0	0.000951
0.204333	0.008107
0.307059	0.004448
0.018051	0.003988
0.666964	0.001183
0.00672	0.00131
0.008001	0.007908
0.05321	0.005134
0.034744	0.005261
0.590602	0.003953
0.0318	0.003019
0.05285	0.006948
0.997242	0.00542
0.032994	0.001604
0.674853	0.008657
0.674853	0.002884
0.733656	0.003118
0.501127	0.004183
0.017989	0.004112
0.306158	0.000357
0.99831	0.005686
0.052418	0.000703
0.00567	0.004582
0.038785	0.00967
1.0	0.002714
0.386926	0.00052
0.012015	0.000364
0.23862	0.003542
0.011606	0.013047
0.014107	0.004183
0.00107	0.001308
0.012015	0.005051
0.022418	0.000736
0.004992	0.00159
0.41517	0.00052
0.99931	0.004083
1.0	0.000255
0.00385	0.000751
1.0	0.000455
1.0	0.008112
0.081695	0.000865
1.0	0.001003
0.407493	0.009175
0.001349	0.004496
0.016435	0.003563
0.047763	0.000519
0.770846	0.001482
0.290016	0.003153
0.040805	0.001014
1.0	0.013019
0.131125	0.000872
0.52682	0.002484
0.008885	0.004078
0.020496	0.002491
1.0	0.000457
0.0215	0.004187
1.0	0.001208
0.01235	0.000727
1.0	0.002234
0.012901	0.000892
0.004831	0.002954
0.002634	0.00066
0.056137	0.010179
0.010206	0.000947
0.005638	0.004758
0.012003	0.001185
0.998895	0.002999
0.487928	0.007733
0.008417	0.000569
0.010821	0.004387
0.055162	0.006873
0.011603	0.003674
0.083379	0.012087
