model	T5
0.999313	0.03141
0.021826	0.000857
1.0	0.000698
1.0	0.017805
0.341953	0.003831
0.997242	0.011037
0.015857	0.010528
1.0	0.002171
0.013284	0.005986
0.054728	0.035465
0.094848	0.008811
1.0	0.010166
0.160755	0.030602
0.996623	0.012262
0.996623	0.009552
1.0	0.017273
0.998046	0.014186
0.866041	0.004096
0.024146	0.010424
0.045646	0.00308
0.251511	0.01373
0.998407	0.00695
0.046301	0.008945
1.0	0.003138
1.0	0.004041
0.070117	0.002693
0.144389	0.016786
0.99862	0.003174
0.218048	0.003959
0.122857	0.000729
0.033636	0.00719
0.103148	0.005414
0.100117	0.006916
0.028109	0.00101
0.681149	0.017213
0.014911	0.044623
0.323186	0.000466
0.134572	0.000886
0.998162	0.006042
1.0	0.007724
0.159115	0.000762
0.047834	0.004717
0.997242	0.003226
0.039144	0.018492
0.03046	0.000687
0.188908	0.007479
0.04045	0.000776
1.0	0.011582
0.043577	0.011413
0.92524	0.007076
0.100117	0.016275
0.146925	0.01487
0.410414	0.000838
0.999701	0.000986
0.131069	0.034326
0.99923	0.00683
1.0	0.00225
1.0	0.00487
0.385769	0.087249
0.114263	0.001568
0.010432	0.001387
0.352868	0.00097
0.087697	0.013024
0.035375	0.001771
1.0	0.004402
0.062426	0.002448
0.332646	0.005818
0.996623	0.027397
0.087622	0.036869
1.0	0.006089
1.0	0.004461
0.241809	0.02007
0.034613	0.015059
0.002301	0.010142
1.0	0.001852
0.148665	0.021539
0.406361	0.024078
0.045381	0.026436
0.760047	0.00482
0.011463	0.005724
0.024322	0.046213
0.070305	0.014204
0.07252	0.047495
0.707174	0.017148
0.051308	0.016426
0.119106	0.005002
0.994491	0.008015
0.089073	0.002183
0.533784	0.027662
0.533784	0.019913
0.538252	0.01244
0.6336	0.013072
0.033498	0.014584
0.390079	0.0007
0.996623	0.014734
0.064563	0.001087
0.008957	0.011331
0.088282	0.012986
1.0	0.002862
0.149712	0.000707
0.012015	0.000761
0.23862	0.001881
0.058231	0.065093
0.086929	0.014752
0.002336	0.001984
0.012015	0.006437
0.038838	0.00249
0.010446	0.005924
0.450779	0.001371
0.99862	0.014851
1.0	0.000472
0.012896	0.002628
1.0	0.001429
1.0	0.025926
0.247331	0.001762
1.0	0.001657
0.440034	0.030936
0.005065	0.031667
0.035081	0.014297
0.136963	0.001199
0.594204	0.00273
0.391887	0.005276
0.040805	0.002094
1.0	0.010422
0.151069	0.001427
0.526238	0.003676
0.023947	0.008759
0.052981	0.01283
1.0	0.000857
0.0215	0.018641
1.0	0.004258
0.031721	0.00217
1.0	0.009899
0.020336	0.00209
0.016792	0.00993
0.011327	0.001742
0.110765	0.013746
0.020234	0.002213
0.017524	0.020705
0.028168	0.002335
0.99779	0.012208
0.552187	0.040219
0.018806	0.001116
0.021949	0.010087
0.115783	0.020976
0.017033	0.019087
0.196705	0.034951
1.0	0.000739
0.01141	0.006487
0.677729	0.0083
0.0215	0.018203
0.141085	0.034215
0.060931	0.003188
0.060931	0.034205
1.0	0.139708
0.390306	0.020716
0.316504	0.016807
1.0	0.00152
1.0	0.001177
0.333565	0.034468
0.076802	0.002218
0.8166	0.006404
0.592114	0.008418
0.996623	0.00527
0.996102	0.000767
0.415179	0.034215
0.012983	0.00398
0.042545	0.010467
1.0	0.005128
0.277676	0.00524
0.009436	0.016864
1.0	0.011104
0.384438	0.024566
0.04022	0.000701
0.045737	0.001358
0.996623	0.000513
0.078984	0.001734
0.025336	0.001493
0.086831	0.011104
1.0	0.003201
1.0	0.004649
0.318833	0.010101
0.995643	0.013081
0.004541	0.001307
0.088986	0.000698
0.996623	0.040774
0.53156	0.006707
0.277896	0.000545
0.087078	0.000684
0.232589	0.001594
0.131534	0.006359
0.389608	0.033716
0.176609	0.033716
0.998049	0.045277
0.388485	0.080403
0.015635	0.036514
0.520968	0.002077
0.10931	0.000854
0.016719	0.003279
0.080288	0.01126
0.565285	0.017714
0.021474	0.004646
0.997117	0.010337
0.045561	0.003501
0.134367	0.028347
1.0	0.001426
0.03386	0.000291
0.196307	0.010034
0.906757	0.010091
0.032121	0.01175
0.008827	0.000643
1.0	0.015368
0.039937	0.002813
0.021437	0.005495
0.070557	0.000837
1.0	0.009075
0.006848	0.002049
0.01139	0.019036
1.0	0.002045
0.379626	0.003006
1.0	0.000214
1.0	0.003999
0.124571	0.004656
0.183729	0.002703
1.0	0.001878
0.056939	0.002353
0.289132	0.000877
1.0	0.003314
0.998407	0.003047
1.0	0.002056
0.014447	0.011104
0.027549	0.00113
1.0	0.009893
0.200081	0.004407
0.139742	0.001299
0.010572	0.002096
0.010612	0.00311
0.123202	0.000657
0.332315	0.000576
0.031057	0.009757
0.018365	0.011212
0.30313	0.010613
0.00528	0.012748
0.019607	0.004452
1.0	0.00061
0.151356	0.008474
1.0	0.00307
0.715049	0.002961
1.0	0.001421
0.996353	0.027778
1.0	0.003729
1.0	0.002496
0.182497	0.039804
0.732586	0.025884
0.468713	0.001283
0.009182	0.001014
0.709809	0.000953
0.56891	0.001301
0.139657	0.003956
0.53531	0.004836
0.445284	0.004836
0.087317	0.003442
1.0	0.006965
0.060577	0.056137
0.234152	0.004538
0.009995	0.002394
1.0	0.017498
0.621988	0.001045
0.008216	0.000158
0.513697	0.004816
0.062969	0.033886
1.0	0.003982
1.0	0.010287
0.032143	0.017763
0.026353	0.008922
0.811475	0.005148
0.088724	0.000398
0.996623	0.006207
0.092127	0.004201
1.0	8e-05
0.199554	0.001583
0.178275	0.056197
0.996493	0.00166
0.200983	0.000522
1.0	0.004294
0.082465	0.00456
0.121839	0.001143
0.997242	0.022864
0.435257	0.001953
0.995227	0.020352
0.031577	0.017176
0.997242	0.005564
1.0	0.004053
1.0	0.002655
0.550033	0.001366
0.028952	0.035957
0.398716	0.002432
0.02559	0.013751
0.997618	0.002756
0.18694	0.001087
1.0	0.015976
1.0	0.000996
0.104965	0.011567
0.636324	0.017422
0.15464	0.006078
0.113045	0.05433
0.475335	0.002065
1.0	0.001655
0.299068	0.00125
0.101649	0.001285
0.202409	0.003293
0.10896	0.0119
0.087994	0.001003
0.08303	0.001682
0.098261	0.03044
1.0	0.004092
0.997688	0.015275
0.089323	0.066626
0.023845	0.00152
0.195686	0.036994
0.012015	0.013427
0.02149	0.001334
0.998407	0.004136
0.028538	0.006792
0.207592	0.015586
0.996623	0.009836
0.004344	0.001218
0.073755	0.038406
0.252481	0.002115
0.014043	0.000668
0.996623	0.037079
1.0	0.000673
0.998407	0.010447
0.178202	0.001114
1.0	0.013427
0.373994	0.009137
0.997242	0.006777
0.021378	0.078587
0.998049	0.005595
1.0	0.000643
0.997346	0.032145
1.0	0.002256
0.293909	0.002591
1.0	0.012431
0.997508	0.010399
0.022972	0.007114
0.999469	0.010163
0.998712	0.021334
0.998049	0.006161
0.059901	0.001396
0.02053	0.00287
1.0	0.002058
0.141534	0.016885
0.324875	0.006874
0.146491	0.014076
1.0	0.01615
0.089918	0.017809
0.99831	0.000635
0.760097	0.042152
0.021217	0.000793
0.161944	0.017404
0.160149	0.02203
0.998407	0.00174
0.09749	0.013646
0.084745	0.004327
0.087947	0.019841
0.002825	0.010175
0.009671	0.001683
0.027651	0.011819
0.105837	0.003426
0.116612	0.035976
0.010738	0.005538
0.010871	0.001017
0.030279	0.023866
1.0	0.000145
