model	T5
1.0	0.00082
0.005908	0.000537
1.0	0.000216
1.0	0.00627
0.218429	0.001221
1.0	0.000568
0.001627	0.000654
1.0	0.000259
0.003628	0.001191
0.011744	0.02177
0.112986	0.000885
1.0	0.001268
0.01856	0.001468
1.0	0.001712
1.0	0.000895
1.0	0.010945
1.0	0.000387
0.83737	0.000183
0.000901	0.001034
0.045646	0.013224
0.283334	0.00039
1.0	0.00583
0.004533	0.000569
1.0	0.003292
1.0	0.00057
0.016619	0.00042
0.02364	0.002054
1.0	0.000507
0.110541	0.000183
0.045565	0.000191
0.002831	0.000369
0.074694	0.000451
1.0	0.002009
0.002235	0.000265
0.681151	0.000489
0.006686	0.010566
0.322928	0.000173
0.120701	0.000325
1.0	0.001084
1.0	0.000281
0.067812	0.000128
0.045105	0.000877
1.0	0.000501
0.006722	0.002789
0.171011	0.000106
0.049332	0.001011
0.030111	0.000677
1.0	0.006256
0.0491	0.000885
0.902206	0.000545
1.0	0.002299
0.01167	0.001232
0.34923	0.000224
1.0	0.000271
0.015692	0.000984
1.0	0.002062
1.0	0.00026
1.0	0.000412
0.189155	0.004971
0.114127	0.000265
0.001391	0.000437
0.352873	0.000367
0.030243	0.004958
0.003518	0.000415
1.0	0.000346
0.097048	0.000413
0.428125	0.000473
1.0	0.006874
0.014553	0.014183
1.0	0.00068
1.0	0.00137
0.150483	0.001255
1.0	0.000573
0.000638	0.000768
1.0	0.000461
0.280846	0.002776
0.231918	0.000822
0.006523	0.000586
0.584335	0.000275
0.003779	0.0003
0.002632	0.001353
0.039807	0.001829
0.01579	0.000583
0.493246	0.000906
0.019709	0.000555
0.023451	0.005774
1.0	0.003135
0.012221	0.001045
0.853204	0.002709
0.853204	0.000418
1.0	0.000728
0.396352	0.001339
0.009661	0.001098
0.237336	0.000182
1.0	0.002195
0.042139	0.00045
0.003474	0.001785
0.016563	0.005927
1.0	0.00232
1.0	0.000302
0.012015	0.000169
0.23862	0.003538
0.002313	0.002615
0.002289	0.001086
0.000444	0.000862
0.012015	0.003562
0.012752	0.000212
0.002266	0.000403
0.38208	0.000178
1.0	0.001123
1.0	0.000135
0.001149	0.000208
1.0	0.000133
1.0	0.002538
0.026984	0.00042
1.0	0.000593
0.377359	0.002721
0.000359	0.000638
0.007699	0.000888
0.016656	0.000223
1.0	0.000804
0.214581	0.001864
0.040805	0.000457
1.0	0.010387
0.113783	0.000522
0.527402	0.001678
0.003296	0.001736
0.007929	0.000483
1.0	0.000187
0.0215	0.000941
1.0	0.000343
0.003908	0.000243
1.0	0.000503
0.008184	0.000381
0.00139	0.000879
0.000613	0.00025
0.027993	0.005369
0.004926	0.000353
0.001814	0.001093
0.004833	0.000544
1.0	0.000699
0.431148	0.001487
0.003353	0.000269
0.005236	0.001846
0.02628	0.002252
0.006278	0.000688
0.035343	0.00418
1.0	0.000233
0.004418	0.004223
0.486626	0.000325
0.0215	0.004744
0.103211	0.000686
0.007247	0.000357
0.007247	0.00076
1.0	0.049892
0.360849	0.000665
0.113062	0.001438
1.0	0.0004
1.0	0.000386
0.243393	0.006497
0.016056	0.000494
0.831056	0.000425
0.695628	0.000316
1.0	0.002236
1.0	0.000213
0.369283	0.000686
0.004373	0.001457
0.00098	0.000631
1.0	0.000276
0.228674	0.000554
0.000921	0.003739
1.0	0.000513
0.384438	0.00051
0.023433	0.00035
0.006748	0.000586
1.0	3.8e-05
0.017394	0.000168
0.001738	0.001358
0.028977	0.000513
1.0	0.000633
1.0	0.0004
0.601208	0.002042
1.0	0.014284
0.002146	0.001652
0.053731	0.00112
1.0	0.012084
1.0	0.000793
0.522203	0.000296
0.005983	0.000138
0.068586	0.000623
0.52216	0.000234
0.098249	0.001481
0.016279	0.001481
1.0	0.0008
0.38914	0.039481
0.001749	0.002935
0.25192	0.000393
1.0	0.000326
0.085548	0.000194
0.018273	0.000462
0.422452	0.000437
0.007134	0.00053
1.0	0.005408
0.009186	0.000969
0.048642	0.002414
1.0	0.000374
0.00555	2.9e-05
1.0	0.000906
0.86701	0.000435
0.003298	0.000445
0.008827	0.00021
1.0	0.001026
0.007569	0.000863
0.010824	0.000264
0.020923	0.000192
1.0	0.002229
0.000487	0.000538
0.001473	0.001068
1.0	0.00024
0.094044	0.000632
1.0	3.5e-05
1.0	0.000398
0.081991	0.000246
0.183729	0.000544
1.0	0.003355
0.05694	0.000655
0.338562	0.000395
1.0	0.000397
1.0	0.000484
1.0	0.0006
0.001869	0.000513
0.027549	0.000207
1.0	0.000366
0.020527	0.001253
0.043791	0.00033
0.034418	0.000446
0.002253	0.002641
0.021106	0.000177
0.155385	0.000128
0.006005	0.000465
0.001221	0.000471
0.627236	0.000933
0.00075	0.000449
0.004401	0.000353
1.0	0.000119
0.090807	0.000979
1.0	0.000159
0.645175	0.000235
1.0	0.000284
1.0	0.000517
1.0	0.004726
1.0	0.000334
0.043566	0.000879
0.58999	0.003718
0.342765	0.000928
0.000947	0.000518
0.720259	0.00026
0.553631	0.000557
0.008905	0.000699
0.388589	0.002689
0.253627	0.002689
